,eventLink,eventName,eventDateString,eventLocation,eventListedFights,date,upcoming
558,http://ufcstats.com/event-details/2b1587a3376ab743,UFC 30: Battle on the Boardwalk,February 23 2001,"Atlantic City, New Jersey, USA",9,2001-02-23,0
559,http://ufcstats.com/event-details/08ae5cd9aef7ddd3,UFC 29: Defense of the Belts,December 16 2000,"Tokyo, Japan",7,2000-12-16,0
560,http://ufcstats.com/event-details/da6dfd09cca1d705,UFC 28: High Stakes,November 17 2000,"Atlantic City, New Jersey, USA",7,2000-11-17,0
561,http://ufcstats.com/event-details/31652c9267606d54,UFC 27: Ultimate Bad Boyz,September 22 2000,"New Orleans, Louisiana, USA",9,2000-09-22,0
562,http://ufcstats.com/event-details/cedfdf8d423d500c,UFC 26: Ultimate Field Of Dreams,June 09 2000,"Cedar Rapids, Iowa, USA",8,2000-06-09,0
563,http://ufcstats.com/event-details/d2b1c1317a39f6c6,UFC 25: Ultimate Japan 3,April 14 2000,"Tokyo, Japan",6,2000-04-14,0
564,http://ufcstats.com/event-details/20ec0061400178ca,UFC 24: First Defense,March 10 2000,"Lake Charles, Louisiana, USA",7,2000-03-10,0
565,http://ufcstats.com/event-details/a8fa0c4e95512806,UFC 23: Ultimate Japan 2,November 19 1999,"Chiba, Japan",7,1999-11-19,0
566,http://ufcstats.com/event-details/afaad7d6a581e307,UFC 22: Only One Can be Champion,September 24 1999,"Lake Charles, Louisiana, USA",10,1999-09-24,0
567,http://ufcstats.com/event-details/1a1a4d7a29041d77,UFC 21: Return of the Champions,July 16 1999,"Cedar Rapids, Iowa, USA",8,1999-07-16,0
568,http://ufcstats.com/event-details/a7b48e18ca27795d,UFC 20: Battle for the Gold,May 07 1999,"Birmingham, Alabama, USA",7,1999-05-07,0
569,http://ufcstats.com/event-details/a220be6d41d6f97d,UFC 19: Ultimate Young Guns,March 05 1999,"Bay St. Louis, Mississippi, USA",7,1999-03-05,0
570,http://ufcstats.com/event-details/c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,January 08 1999,"New Orleans, Louisiana, USA",7,1999-01-08,0
571,http://ufcstats.com/event-details/32a3025d5db456ae,UFC - Ultimate Brazil,October 16 1998,"Sao Paulo, Brazil",8,1998-10-16,0
572,http://ufcstats.com/event-details/4a01dc8376736ef5,UFC 17: Redemption,May 15 1998,"Mobile, Alabama, USA",9,1998-05-15,0
573,http://ufcstats.com/event-details/749685d24e2cac50,UFC 16: Battle in the Bayou,March 13 1998,"New Orleans, Louisiana, USA",8,1998-03-13,0
574,http://ufcstats.com/event-details/29f935654825331b,UFC - Ultimate Japan,December 21 1997,"Yokohama, Kanagawa, Japan",8,1997-12-21,0
575,http://ufcstats.com/event-details/07a18ae55dfc3cd9,UFC 15: Collision Course,October 17 1997,"Bay St. Louis, Mississippi, USA",7,1997-10-17,0
576,http://ufcstats.com/event-details/dc950d59dc590aca,UFC 14: Showdown,July 27 1997,"Birmingham, Alabama, USA",9,1997-07-27,0
577,http://ufcstats.com/event-details/5bd533d50c8e7b8a,UFC 13: The Ultimate Force,May 30 1997,"Augusta, Georgia, USA",9,1997-05-30,0
578,http://ufcstats.com/event-details/96eff1a628adcc7f,UFC 12: Judgement Day,February 07 1997,"Dothan, Alabama, USA",9,1997-02-07,0
579,http://ufcstats.com/event-details/9b5b5a75523728f3,UFC - Ultimate Ultimate '96,December 07 1996,"Birmingham, Alabama, USA",10,1996-12-07,0
580,http://ufcstats.com/event-details/6ceff86fae4f6b3b,UFC 11: The Proving Ground,September 20 1996,"Augusta, Georgia, USA",8,1996-09-20,0
581,http://ufcstats.com/event-details/aee8eecfc4bfb1e7,UFC 10: The Tournament,July 12 1996,"Birmingham, Alabama, USA",9,1996-07-12,0
582,http://ufcstats.com/event-details/a390eb8a9b2df298,UFC 9: Motor City Madness,May 17 1996,"Detroit, Michigan, USA",7,1996-05-17,0
583,http://ufcstats.com/event-details/b63e800c18e011b5,UFC 8: David vs Goliath,February 16 1996,"San Juan, Puerto Rico",9,1996-02-16,0
584,http://ufcstats.com/event-details/31bbd46d57dfbcb7,UFC - Ultimate Ultimate '95,December 16 1995,"Denver, Colorado, USA",9,1995-12-16,0
585,http://ufcstats.com/event-details/5af480a3b2e1726b,UFC 7: The Brawl in Buffalo,September 08 1995,"Buffalo, New York, USA",12,1995-09-08,0
586,http://ufcstats.com/event-details/1c3f5e85b59ec710,UFC 6: Clash of the Titans,July 14 1995,"Casper, Wyoming, USA",10,1995-07-14,0
587,http://ufcstats.com/event-details/dedc3bb440d09554,UFC 5: The Return of the Beast,April 07 1995,"Charlotte, North Carolina, USA",11,1995-04-07,0
588,http://ufcstats.com/event-details/b60391da771deefe,UFC 4: Revenge of the Warriors,December 16 1994,"Tulsa, Oklahoma, USA",10,1994-12-16,0
589,http://ufcstats.com/event-details/1a49e0670dfaca31,UFC 3: The American Dream,September 09 1994,"Charlotte, North Carolina, USA",6,1994-09-09,0
590,http://ufcstats.com/event-details/a6a9ab5a824e8f66,UFC 2: No Way Out,March 11 1994,"Denver, Colorado, USA",15,1994-03-11,0
