eventHyperlink,eventLink,location 
http://ufcstats.com/event-details/0941df56f6ac954b,"UFC Fight Night: Joanna vs. WatersonOctober 12, 2019","Tampa, Florida, USA"
http://ufcstats.com/event-details/3cf68c1d17f66af7,"UFC 243: Whittaker vs. AdesanyaOctober 05, 2019","Melbourne, Victoria, Australia"
http://ufcstats.com/event-details/1bf49bf829964144,"UFC Fight Night: Hermansson vs. CannonierSeptember 28, 2019","Copenhagen, Denmark"
http://ufcstats.com/event-details/94a5aaf573f780ad,"UFC Fight Night: Rodriguez vs. StephensSeptember 21, 2019","Mexico City, Distrito Federal, Mexico"
http://ufcstats.com/event-details/4834ff149dc9542a,"UFC Fight Night: Cowboy vs. GaethjeSeptember 14, 2019","Vancouver, British Columbia, Canada"
http://ufcstats.com/event-details/a79bfbc01b2264d6,"UFC 242: Khabib vs. PoirierSeptember 07, 2019","Abu Dhabi, Abu Dhabi, United Arab Emirates"
http://ufcstats.com/event-details/2c104b7e59a72629,"UFC Fight Night: Andrade vs. ZhangAugust 31, 2019","Shenzhen, Guangdong, China"
http://ufcstats.com/event-details/70167689d6a01793,"UFC 241: Cormier vs. Miocic 2August 17, 2019","Anaheim, California, USA"
http://ufcstats.com/event-details/e5d03e4d966126bd,"UFC Fight Night: Shevchenko vs. Carmouche 2August 10, 2019","Montevideo, Uruguay"
http://ufcstats.com/event-details/03da33a102d9a45f,"UFC Fight Night: Covington vs. LawlerAugust 03, 2019","Newark, New Jersey, USA"
http://ufcstats.com/event-details/abcf7e55a0a9ed89,"UFC 240: Holloway vs. EdgarJuly 27, 2019","Edmonton, Alberta, Canada"
http://ufcstats.com/event-details/9e0f28d1f639ad73,"UFC Fight Night: Dos Anjos vs. EdwardsJuly 20, 2019","San Antonio, Texas, USA"
http://ufcstats.com/event-details/2f8f3c69522db931,"UFC Fight Night: De Randamie vs. LaddJuly 13, 2019","Sacramento, California, USA"
http://ufcstats.com/event-details/6c9383ffab2725a5,"UFC 239: Jones vs. SantosJuly 06, 2019","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/c0c1bc0766df4c00,"UFC Fight Night: Ngannou vs. Dos SantosJune 29, 2019","Minneapolis, Minnesota, USA"
http://ufcstats.com/event-details/b16a7e6a627e9789,"UFC Fight Night: Moicano vs. The Korean ZombieJune 22, 2019","Greenville, South Carolina, USA"
http://ufcstats.com/event-details/e31502e3f79d00c5,"UFC 238: Cejudo vs. MoraesJune 08, 2019","Chicago, Illinois, USA"
http://ufcstats.com/event-details/cbc071cb20ea59c7,"UFC Fight Night: Gustafsson vs. SmithJune 01, 2019","Stockholm, Sweden"
http://ufcstats.com/event-details/6b8f28da9a483049,"UFC Fight Night: Dos Anjos vs. LeeMay 18, 2019","Rochester, New York, USA"
http://ufcstats.com/event-details/9de7c97e1c0d7927,"UFC 237: Namajunas vs. AndradeMay 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil"
http://ufcstats.com/event-details/351264d11286d09a,"UFC Fight Night: Iaquinta vs. CowboyMay 04, 2019","Ottawa, Ontario, Canada"
http://ufcstats.com/event-details/c912f676692c353a,"UFC Fight Night: Jacare vs. HermanssonApril 27, 2019","Sunrise, Florida, USA"
http://ufcstats.com/event-details/7dcf06c1967801c1,"UFC Fight Night: Overeem vs. OleinikApril 20, 2019","Saint Petersburg, Saint Petersburg, Russia"
http://ufcstats.com/event-details/b0550072e5f0afa7,"UFC 236: Holloway vs. Poirier 2April 13, 2019","Atlanta, Georgia, USA"
http://ufcstats.com/event-details/9649d75defe0dedb,"UFC Fight Night: Barboza vs. GaethjeMarch 30, 2019","Philadelphia, Pennsylvania, USA"
http://ufcstats.com/event-details/487c170da059857d,"UFC Fight Night: Thompson vs. PettisMarch 23, 2019","Nashville, Tennessee, USA"
http://ufcstats.com/event-details/80eacd4da0617c57,"UFC Fight Night: Till vs. MasvidalMarch 16, 2019","London, England, United Kingdom"
http://ufcstats.com/event-details/e96d8538d3f9d0ed,"UFC Fight Night: Lewis vs. Dos SantosMarch 09, 2019","Wichita, Kansas, USA"
http://ufcstats.com/event-details/2d5fbe2103f97053,"UFC 235: Jones vs. SmithMarch 02, 2019","Las Vegas, Nevada, USA"
